Glycan,C4,C__5,C__6
2-3-0-0-0 Protonated,189429600,N/A,N/A
2-3-0-0-0 Protonated Ratio,1,N/A,N/A
2-3-0-0-0 All Adducts,384024928,N/A,N/A
2-3-0-0-0 All Ratio,1,N/A,N/A
2-3-1-0-0 Protonated,925248200,N/A,N/A
2-3-1-0-0 Protonated Ratio,1,N/A,N/A
2-3-1-0-0 All Adducts,7283301088,N/A,N/A
2-3-1-0-0 All Ratio,1,N/A,N/A
2-4-0-0-0 Protonated,962608800,N/A,N/A
2-4-0-0-0 Protonated Ratio,1,N/A,N/A
2-4-0-0-0 All Adducts,3837004400,N/A,N/A
2-4-0-0-0 All Ratio,1,N/A,N/A
2-5-0-0-0 Protonated,47826320000,N/A,N/A
2-5-0-0-0 Protonated Ratio,1,N/A,N/A
2-5-0-0-0 All Adducts,1.48E+11,N/A,N/A
2-5-0-0-0 All Ratio,1,N/A,N/A
2-6-0-0-0 Protonated,5706485000,N/A,N/A
2-6-0-0-0 Protonated Ratio,1,N/A,N/A
2-6-0-0-0 All Adducts,29135839872,N/A,N/A
2-6-0-0-0 All Ratio,1,N/A,N/A
2-7-0-0-0 Protonated,751132500,N/A,N/A
2-7-0-0-0 Protonated Ratio,1,N/A,N/A
2-7-0-0-0 All Adducts,4667364664,N/A,N/A
2-7-0-0-0 All Ratio,1,N/A,N/A
2-8-0-0-0 Protonated,54990980,N/A,N/A
2-8-0-0-0 Protonated Ratio,1,N/A,N/A
2-8-0-0-0 All Adducts,1941997034,N/A,N/A
2-8-0-0-0 All Ratio,1,N/A,N/A
2-9-0-0-0 Protonated,846092800,N/A,N/A
2-9-0-0-0 Protonated Ratio,1,N/A,N/A
2-9-0-0-0 All Adducts,9152583408,N/A,N/A
2-9-0-0-0 All Ratio,1,N/A,N/A
2-10-0-0-0 Protonated,43607920,N/A,N/A
2-10-0-0-0 Protonated Ratio,1,N/A,N/A
2-10-0-0-0 All Adducts,77739685,N/A,N/A
2-10-0-0-0 All Ratio,1,N/A,N/A
3-3-0-0-0 Protonated,773054700,N/A,N/A
3-3-0-0-0 Protonated Ratio,1,N/A,N/A
3-3-0-0-0 All Adducts,896682712,N/A,N/A
3-3-0-0-0 All Ratio,1,N/A,N/A
3-3-1-0-0 Protonated,183788900,N/A,N/A
3-3-1-0-0 Protonated Ratio,1,N/A,N/A
3-3-1-0-0 All Adducts,276657432,N/A,N/A
3-3-1-0-0 All Ratio,1,N/A,N/A
3-4-0-0-0 Protonated,95430960,N/A,N/A
3-4-0-0-0 Protonated Ratio,1,N/A,N/A
3-4-0-0-0 All Adducts,176566504,N/A,N/A
3-4-0-0-0 All Ratio,1,N/A,N/A
3-4-0-1-0 Protonated,83405360,N/A,N/A
3-4-0-1-0 Protonated Ratio,1,N/A,N/A
3-4-0-1-0 All Adducts,83405360,N/A,N/A
3-4-0-1-0 All Ratio,1,N/A,N/A
3-4-1-0-0 Protonated,144460300,N/A,N/A
3-4-1-0-0 Protonated Ratio,1,N/A,N/A
3-4-1-0-0 All Adducts,267228140,N/A,N/A
3-4-1-0-0 All Ratio,1,N/A,N/A
3-4-1-1-0 Protonated,313382000,N/A,N/A
3-4-1-1-0 Protonated Ratio,1,N/A,N/A
3-4-1-1-0 All Adducts,414039120,N/A,N/A
3-4-1-1-0 All Ratio,1,N/A,N/A
3-5-0-0-0 Protonated,1506723,N/A,N/A
3-5-0-0-0 Protonated Ratio,1,N/A,N/A
3-5-0-0-0 All Adducts,3269583,N/A,N/A
3-5-0-0-0 All Ratio,1,N/A,N/A
3-5-0-1-0 Protonated,45718310,N/A,N/A
3-5-0-1-0 Protonated Ratio,1,N/A,N/A
3-5-0-1-0 All Adducts,45718308,N/A,N/A
3-5-0-1-0 All Ratio,1,N/A,N/A
3-5-1-0-0 Protonated,115569400,N/A,N/A
3-5-1-0-0 Protonated Ratio,1,N/A,N/A
3-5-1-0-0 All Adducts,207325830,N/A,N/A
3-5-1-0-0 All Ratio,1,N/A,N/A
3-5-1-1-0 Protonated,830545200,N/A,N/A
3-5-1-1-0 Protonated Ratio,1,N/A,N/A
3-5-1-1-0 All Adducts,1351969248,N/A,N/A
3-5-1-1-0 All Ratio,1,N/A,N/A
3-6-0-0-0 Protonated,8565142,N/A,N/A
3-6-0-0-0 Protonated Ratio,1,N/A,N/A
3-6-0-0-0 All Adducts,8565142,N/A,N/A
3-6-0-0-0 All Ratio,1,N/A,N/A
3-6-0-1-0 Protonated,15596230,N/A,N/A
3-6-0-1-0 Protonated Ratio,1,N/A,N/A
3-6-0-1-0 All Adducts,26145597.5,N/A,N/A
3-6-0-1-0 All Ratio,1,N/A,N/A
3-6-1-0-0 Protonated,4922983,N/A,N/A
3-6-1-0-0 Protonated Ratio,1,N/A,N/A
3-6-1-0-0 All Adducts,4922983,N/A,N/A
3-6-1-0-0 All Ratio,1,N/A,N/A
3-6-1-1-0 Protonated,459773800,N/A,N/A
3-6-1-1-0 Protonated Ratio,1,N/A,N/A
3-6-1-1-0 All Adducts,724556304,N/A,N/A
3-6-1-1-0 All Ratio,1,N/A,N/A
3-7-0-0-0 Protonated,14149040,N/A,N/A
3-7-0-0-0 Protonated Ratio,1,N/A,N/A
3-7-0-0-0 All Adducts,14149044,N/A,N/A
3-7-0-0-0 All Ratio,1,N/A,N/A
3-8-0-1-0 Protonated,65176000,N/A,N/A
3-8-0-1-0 Protonated Ratio,1,N/A,N/A
3-8-0-1-0 All Adducts,65176000,N/A,N/A
3-8-0-1-0 All Ratio,1,N/A,N/A
4-3-0-0-0 Protonated,1069524000,N/A,N/A
4-3-0-0-0 Protonated Ratio,1,N/A,N/A
4-3-0-0-0 All Adducts,1296920208,N/A,N/A
4-3-0-0-0 All Ratio,1,N/A,N/A
4-3-1-0-0 Protonated,4486639000,N/A,N/A
4-3-1-0-0 Protonated Ratio,1,N/A,N/A
4-3-1-0-0 All Adducts,6139715840,N/A,N/A
4-3-1-0-0 All Ratio,1,N/A,N/A
4-4-0-0-0 Protonated,169562700,N/A,N/A
4-4-0-0-0 Protonated Ratio,1,N/A,N/A
4-4-0-0-0 All Adducts,448175820,N/A,N/A
4-4-0-0-0 All Ratio,1,N/A,N/A
4-4-0-1-0 Protonated,113496300,N/A,N/A
4-4-0-1-0 Protonated Ratio,1,N/A,N/A
4-4-0-1-0 All Adducts,128054601,N/A,N/A
4-4-0-1-0 All Ratio,1,N/A,N/A
4-4-1-0-0 Protonated,1141975000,N/A,N/A
4-4-1-0-0 Protonated Ratio,1,N/A,N/A
4-4-1-0-0 All Adducts,2112066112,N/A,N/A
4-4-1-0-0 All Ratio,1,N/A,N/A
4-4-1-1-0 Protonated,510811100,N/A,N/A
4-4-1-1-0 Protonated Ratio,1,N/A,N/A
4-4-1-1-0 All Adducts,576553652,N/A,N/A
4-4-1-1-0 All Ratio,1,N/A,N/A
4-5-0-0-0 Protonated,170219000,N/A,N/A
4-5-0-0-0 Protonated Ratio,1,N/A,N/A
4-5-0-0-0 All Adducts,891942728,N/A,N/A
4-5-0-0-0 All Ratio,1,N/A,N/A
4-5-0-1-0 Protonated,730905400,N/A,N/A
4-5-0-1-0 Protonated Ratio,1,N/A,N/A
4-5-0-1-0 All Adducts,815596824,N/A,N/A
4-5-0-1-0 All Ratio,1,N/A,N/A
4-5-0-2-0 Protonated,1842890000,N/A,N/A
4-5-0-2-0 Protonated Ratio,1,N/A,N/A
4-5-0-2-0 All Adducts,2656606144,N/A,N/A
4-5-0-2-0 All Ratio,1,N/A,N/A
4-5-1-0-0 Protonated,341076300,N/A,N/A
4-5-1-0-0 Protonated Ratio,1,N/A,N/A
4-5-1-0-0 All Adducts,1146734784,N/A,N/A
4-5-1-0-0 All Ratio,1,N/A,N/A
4-5-1-1-0 Protonated,363478100,N/A,N/A
4-5-1-1-0 Protonated Ratio,1,N/A,N/A
4-5-1-1-0 All Adducts,491477280,N/A,N/A
4-5-1-1-0 All Ratio,1,N/A,N/A
4-5-1-2-0 Protonated,303831100,N/A,N/A
4-5-1-2-0 Protonated Ratio,1,N/A,N/A
4-5-1-2-0 All Adducts,358296488,N/A,N/A
4-5-1-2-0 All Ratio,1,N/A,N/A
4-5-2-0-0 Protonated,1897548000,N/A,N/A
4-5-2-0-0 Protonated Ratio,1,N/A,N/A
4-5-2-0-0 All Adducts,5085028800,N/A,N/A
4-5-2-0-0 All Ratio,1,N/A,N/A
4-5-3-1-0 Protonated,4721475,N/A,N/A
4-5-3-1-0 Protonated Ratio,1,N/A,N/A
4-5-3-1-0 All Adducts,8154085.38,N/A,N/A
4-5-3-1-0 All Ratio,1,N/A,N/A
4-6-0-0-0 Protonated,639398.1,N/A,N/A
4-6-0-0-0 Protonated Ratio,1,N/A,N/A
4-6-0-0-0 All Adducts,639398.13,N/A,N/A
4-6-0-0-0 All Ratio,1,N/A,N/A
4-6-0-1-0 Protonated,3492878,N/A,N/A
4-6-0-1-0 Protonated Ratio,1,N/A,N/A
4-6-0-1-0 All Adducts,6812685.75,N/A,N/A
4-6-0-1-0 All Ratio,1,N/A,N/A
4-6-0-2-0 Protonated,18623600,N/A,N/A
4-6-0-2-0 Protonated Ratio,1,N/A,N/A
4-6-0-2-0 All Adducts,18623602,N/A,N/A
4-6-0-2-0 All Ratio,1,N/A,N/A
4-6-1-0-0 Protonated,85140060,N/A,N/A
4-6-1-0-0 Protonated Ratio,1,N/A,N/A
4-6-1-0-0 All Adducts,85140064,N/A,N/A
4-6-1-0-0 All Ratio,1,N/A,N/A
4-6-1-1-0 Protonated,812487100,N/A,N/A
4-6-1-1-0 Protonated Ratio,1,N/A,N/A
4-6-1-1-0 All Adducts,910713272,N/A,N/A
4-6-1-1-0 All Ratio,1,N/A,N/A
4-6-1-2-0 Protonated,22670820,N/A,N/A
4-6-1-2-0 Protonated Ratio,1,N/A,N/A
4-6-1-2-0 All Adducts,22670824,N/A,N/A
4-6-1-2-0 All Ratio,1,N/A,N/A
4-7-0-0-0 Protonated,1322148,N/A,N/A
4-7-0-0-0 Protonated Ratio,1,N/A,N/A
4-7-0-0-0 All Adducts,1322148,N/A,N/A
4-7-0-0-0 All Ratio,1,N/A,N/A
4-7-0-1-0 Protonated,61171.7,N/A,N/A
4-7-0-1-0 Protonated Ratio,1,N/A,N/A
4-7-0-1-0 All Adducts,72164.28,N/A,N/A
4-7-0-1-0 All Ratio,1,N/A,N/A
4-7-0-2-0 Protonated,157925.9,N/A,N/A
4-7-0-2-0 Protonated Ratio,1,N/A,N/A
4-7-0-2-0 All Adducts,413025.61,N/A,N/A
4-7-0-2-0 All Ratio,1,N/A,N/A
4-7-1-0-0 Protonated,465735.9,N/A,N/A
4-7-1-0-0 Protonated Ratio,1,N/A,N/A
4-7-1-0-0 All Adducts,2345048,N/A,N/A
4-7-1-0-0 All Ratio,1,N/A,N/A
4-7-1-1-0 Protonated,257994.6,N/A,N/A
4-7-1-1-0 Protonated Ratio,1,N/A,N/A
4-7-1-1-0 All Adducts,283909.08,N/A,N/A
4-7-1-1-0 All Ratio,1,N/A,N/A
4-7-1-2-0 Protonated,4397524,N/A,N/A
4-7-1-2-0 Protonated Ratio,1,N/A,N/A
4-7-1-2-0 All Adducts,4397524,N/A,N/A
4-7-1-2-0 All Ratio,1,N/A,N/A
4-8-0-0-0 Protonated,258984.5,N/A,N/A
4-8-0-0-0 Protonated Ratio,1,N/A,N/A
4-8-0-0-0 All Adducts,620011.72,N/A,N/A
4-8-0-0-0 All Ratio,1,N/A,N/A
4-10-0-0-0 Protonated,340110.9,N/A,N/A
4-10-0-0-0 Protonated Ratio,1,N/A,N/A
4-10-0-0-0 All Adducts,340110.94,N/A,N/A
4-10-0-0-0 All Ratio,1,N/A,N/A
4-11-0-0-0 Protonated,51864.92,N/A,N/A
