Glycan,AD4,AD5,AD__3,AD__4,AD__6
2-3-0-0-0 Protonated,136918300,142548400,N/A,N/A,N/A
2-3-0-0-0 Protonated Ratio,1,1.04,N/A,N/A,N/A
2-3-0-0-0 All Adducts,259752648,297415232,N/A,N/A,N/A
2-3-0-0-0 All Ratio,1,1.14,N/A,N/A,N/A
2-3-1-0-0 Protonated,532140900,447106300,N/A,N/A,N/A
2-3-1-0-0 Protonated Ratio,1.19,1,N/A,N/A,N/A
2-3-1-0-0 All Adducts,2763984288,2824428616,N/A,N/A,N/A
2-3-1-0-0 All Ratio,1,1.02,N/A,N/A,N/A
2-4-0-0-0 Protonated,215234200,157714600,N/A,N/A,N/A
2-4-0-0-0 Protonated Ratio,1.36,1,N/A,N/A,N/A
2-4-0-0-0 All Adducts,557386930,711828182,N/A,N/A,N/A
2-4-0-0-0 All Ratio,1,1.28,N/A,N/A,N/A
2-5-0-0-0 Protonated,15926140000,31267650000,N/A,N/A,N/A
2-5-0-0-0 Protonated Ratio,1,1.96,N/A,N/A,N/A
2-5-0-0-0 All Adducts,44669604864,84851575808,N/A,N/A,N/A
2-5-0-0-0 All Ratio,1,1.9,N/A,N/A,N/A
2-6-0-0-0 Protonated,2024363000,1872783000,N/A,N/A,N/A
2-6-0-0-0 Protonated Ratio,1.08,1,N/A,N/A,N/A
2-6-0-0-0 All Adducts,8984694544,9241311872,N/A,N/A,N/A
2-6-0-0-0 All Ratio,1,1.03,N/A,N/A,N/A
2-7-0-0-0 Protonated,22323150,45003120,N/A,N/A,N/A
2-7-0-0-0 Protonated Ratio,1,2.02,N/A,N/A,N/A
2-7-0-0-0 All Adducts,556083078,337082448,N/A,N/A,N/A
2-7-0-0-0 All Ratio,1.65,1,N/A,N/A,N/A
2-8-0-0-0 Protonated,88615310,274308800,N/A,N/A,N/A
2-8-0-0-0 Protonated Ratio,1,3.1,N/A,N/A,N/A
2-8-0-0-0 All Adducts,1795086866,3772632276,N/A,N/A,N/A
2-8-0-0-0 All Ratio,1,2.1,N/A,N/A,N/A
2-9-0-0-0 Protonated,486920200,620124400,N/A,N/A,N/A
2-9-0-0-0 Protonated Ratio,1,1.27,N/A,N/A,N/A
2-9-0-0-0 All Adducts,3799164048,5053193312,N/A,N/A,N/A
2-9-0-0-0 All Ratio,1,1.33,N/A,N/A,N/A
2-10-0-0-0 Protonated,11267490,35958000,N/A,N/A,N/A
2-10-0-0-0 Protonated Ratio,1,3.19,N/A,N/A,N/A
