Glycan,AD6
2-3-0-0-0 Protonated,132475100
2-3-0-0-0 Protonated Ratio,1.68
2-3-0-0-0 All Adducts,279424448
2-3-0-0-0 All Ratio,1.61
2-3-1-0-0 Protonated,590865500
2-3-1-0-0 Protonated Ratio,1.13
2-3-1-0-0 All Adducts,3199224512
2-3-1-0-0 All Ratio,1.29
2-4-0-0-0 Protonated,535671100
2-4-0-0-0 Protonated Ratio,1.45
2-4-0-0-0 All Adducts,1525783696
2-4-0-0-0 All Ratio,1
2-5-0-0-0 Protonated,25043700000
2-5-0-0-0 Protonated Ratio,1.27
2-5-0-0-0 All Adducts,82119516160
2-5-0-0-0 All Ratio,1.56
2-6-0-0-0 Protonated,3594934000
2-6-0-0-0 Protonated Ratio,2.08
2-6-0-0-0 All Adducts,18396617408
2-6-0-0-0 All Ratio,2.47
2-7-0-0-0 Protonated,96951820
2-7-0-0-0 Protonated Ratio,4.42
2-7-0-0-0 All Adducts,660126550
2-7-0-0-0 All Ratio,1.6
2-8-0-0-0 Protonated,17630060
2-8-0-0-0 Protonated Ratio,1
2-8-0-0-0 All Adducts,305697287.5
2-8-0-0-0 All Ratio,1
2-9-0-0-0 Protonated,804571900
2-9-0-0-0 Protonated Ratio,1
2-9-0-0-0 All Adducts,7582380640
2-9-0-0-0 All Ratio,1.06
2-10-0-0-0 Protonated,29634780
2-10-0-0-0 Protonated Ratio,1
2-10-0-0-0 All Adducts,69591291.5
2-10-0-0-0 All Ratio,1
3-3-0-0-0 Protonated,915476.4
3-3-0-0-0 Protonated Ratio,1
3-3-0-0-0 All Adducts,1736385.13
3-3-0-0-0 All Ratio,1
3-3-1-0-0 Protonated,2559191
3-3-1-0-0 Protonated Ratio,1
3-3-1-0-0 All Adducts,2559191.25
3-3-1-0-0 All Ratio,1
3-4-0-0-0 Protonated,28083930
3-4-0-0-0 Protonated Ratio,1
3-4-0-0-0 All Adducts,31218031.75
3-4-0-0-0 All Ratio,1
3-4-0-1-0 Protonated,49577320
3-4-0-1-0 Protonated Ratio,2.74
3-4-0-1-0 All Adducts,49577320
3-4-0-1-0 All Ratio,2.74
3-4-1-0-0 Protonated,20798340
3-4-1-0-0 Protonated Ratio,3.08
3-4-1-0-0 All Adducts,25864525.75
3-4-1-0-0 All Ratio,1.68
3-4-1-1-0 Protonated,22950810
3-4-1-1-0 Protonated Ratio,1.2
3-4-1-1-0 All Adducts,40548751.5
3-4-1-1-0 All Ratio,1.81
3-5-0-0-0 Protonated,788513.1
