Glycan,C5,C6,C_7
2-3-0-0-0 Protonated,141608000,99757990,N/A
2-3-0-0-0 Protonated Ratio,1.42,1,N/A
2-3-0-0-0 All Adducts,301308368,207537928,N/A
2-3-0-0-0 All Ratio,1.45,1,N/A
2-3-1-0-0 Protonated,761209900,412857800,N/A
2-3-1-0-0 Protonated Ratio,1.84,1,N/A
2-3-1-0-0 All Adducts,6959883216,2503952360,N/A
2-3-1-0-0 All Ratio,2.78,1,N/A
2-4-0-0-0 Protonated,809813900,383868000,N/A
2-4-0-0-0 Protonated Ratio,2.11,1,N/A
2-4-0-0-0 All Adducts,3922380512,1121236616,N/A
2-4-0-0-0 All Ratio,3.5,1,N/A
2-5-0-0-0 Protonated,44878100000,31528740000,N/A
2-5-0-0-0 Protonated Ratio,1.42,1,N/A
2-5-0-0-0 All Adducts,1.56E+11,94192769024,N/A
2-5-0-0-0 All Ratio,1.66,1,N/A
2-6-0-0-0 Protonated,5738225000,3105394000,N/A
2-6-0-0-0 Protonated Ratio,1.85,1,N/A
2-6-0-0-0 All Adducts,36217889344,14997431168,N/A
2-6-0-0-0 All Ratio,2.41,1,N/A
2-7-0-0-0 Protonated,751669200,260013000,N/A
2-7-0-0-0 Protonated Ratio,2.89,1,N/A
2-7-0-0-0 All Adducts,4437778344,3522385716,N/A
2-7-0-0-0 All Ratio,1.26,1,N/A
2-8-0-0-0 Protonated,7566750,9783948,N/A
2-8-0-0-0 Protonated Ratio,1,1.29,N/A
2-8-0-0-0 All Adducts,84108851,79972456.13,N/A
2-8-0-0-0 All Ratio,1.05,1,N/A
2-9-0-0-0 Protonated,995737700,724299300,N/A
2-9-0-0-0 Protonated Ratio,1.37,1,N/A
2-9-0-0-0 All Adducts,10535923856,6469161728,N/A
2-9-0-0-0 All Ratio,1.63,1,N/A
2-10-0-0-0 Protonated,52918800,29109580,N/A
2-10-0-0-0 Protonated Ratio,1.82,1,N/A
2-10-0-0-0 All Adducts,90436068,310270046,N/A
2-10-0-0-0 All Ratio,1,3.43,N/A
3-3-0-0-0 Protonated,254175200,35615640,N/A
3-3-0-0-0 Protonated Ratio,7.14,1,N/A
3-3-0-0-0 All Adducts,348727328,66360758,N/A
3-3-0-0-0 All Ratio,5.26,1,N/A
3-3-1-0-0 Protonated,37497140,33611910,N/A
3-3-1-0-0 Protonated Ratio,1.12,1,N/A
3-3-1-0-0 All Adducts,37497140,33611912,N/A
3-3-1-0-0 All Ratio,1.12,1,N/A
3-4-0-0-0 Protonated,57493520,47129070,N/A
3-4-0-0-0 Protonated Ratio,1.22,1,N/A
3-4-0-0-0 All Adducts,75963226,70385940,N/A
3-4-0-0-0 All Ratio,1.08,1,N/A
3-4-0-1-0 Protonated,86776030,51213180,N/A
3-4-0-1-0 Protonated Ratio,1.69,1,N/A
3-4-0-1-0 All Adducts,86776032,51213184,N/A
3-4-0-1-0 All Ratio,1.69,1,N/A
3-4-1-0-0 Protonated,71170790,12188040,N/A
3-4-1-0-0 Protonated Ratio,5.84,1,N/A
3-4-1-0-0 All Adducts,83870420,27217836.25,N/A
3-4-1-0-0 All Ratio,3.08,1,N/A
3-4-1-1-0 Protonated,29842980,26571960,N/A
3-4-1-1-0 Protonated Ratio,1.12,1,N/A
3-4-1-1-0 All Adducts,40108401,26571960,N/A
3-4-1-1-0 All Ratio,1.51,1,N/A
3-5-0-0-0 Protonated,6279063,614962.5,N/A
3-5-0-0-0 Protonated Ratio,10.21,1,N/A
3-5-0-0-0 All Adducts,37037229.13,614962.5,N/A
3-5-0-0-0 All Ratio,60.23,1,N/A
3-5-0-1-0 Protonated,8129536,4968243,N/A
3-5-0-1-0 Protonated Ratio,1.64,1,N/A
3-5-0-1-0 All Adducts,8129535.5,4968243,N/A
3-5-0-1-0 All Ratio,1.64,1,N/A
3-5-1-0-0 Protonated,4838698,3332905,N/A
3-5-1-0-0 Protonated Ratio,1.45,1,N/A
3-5-1-0-0 All Adducts,17705993,7426372.19,N/A
3-5-1-0-0 All Ratio,2.38,1,N/A
3-5-1-1-0 Protonated,433096500,118524400,N/A
3-5-1-1-0 Protonated Ratio,3.65,1,N/A
3-5-1-1-0 All Adducts,640794336,133595465,N/A
3-5-1-1-0 All Ratio,4.8,1,N/A
3-6-0-0-0 Protonated,33915480,18456300,N/A
3-6-0-0-0 Protonated Ratio,1.84,1,N/A
3-6-0-0-0 All Adducts,33915480,55051848,N/A
3-6-0-0-0 All Ratio,1,1.62,N/A
3-6-0-1-0 Protonated,724893.4,356129.7,N/A
3-6-0-1-0 Protonated Ratio,2.04,1,N/A
3-6-0-1-0 All Adducts,724893.38,543675.02,N/A
3-6-0-1-0 All Ratio,1.33,1,N/A
3-6-1-0-0 Protonated,77527820,136947400,N/A
3-6-1-0-0 Protonated Ratio,1,1.77,N/A
3-6-1-0-0 All Adducts,77527816,136947424,N/A
3-6-1-0-0 All Ratio,1,1.77,N/A
3-6-1-1-0 Protonated,325337200,161972900,N/A
3-6-1-1-0 Protonated Ratio,2.01,1,N/A
3-6-1-1-0 All Adducts,506276112,280313608,N/A
3-6-1-1-0 All Ratio,1.81,1,N/A
3-7-0-0-0 Protonated,147393.5,987783.4,N/A
3-7-0-0-0 Protonated Ratio,1,6.7,N/A
3-7-0-0-0 All Adducts,147393.5,987783.38,N/A
3-7-0-0-0 All Ratio,1,6.7,N/A
3-8-0-1-0 Protonated,39625080,34603540,N/A
3-8-0-1-0 Protonated Ratio,1.15,1,N/A
3-8-0-1-0 All Adducts,39625076,34603536,N/A
3-8-0-1-0 All Ratio,1.15,1,N/A
4-3-0-0-0 Protonated,879629100,242268000,N/A
4-3-0-0-0 Protonated Ratio,3.63,1,N/A
4-3-0-0-0 All Adducts,879629056,242267984,N/A
4-3-0-0-0 All Ratio,3.63,1,N/A
4-3-1-0-0 Protonated,4272042000,2313285000,N/A
4-3-1-0-0 Protonated Ratio,1.85,1,N/A
4-3-1-0-0 All Adducts,5876113920,3061344640,N/A
4-3-1-0-0 All Ratio,1.92,1,N/A
4-4-0-0-0 Protonated,516557000,768868000,N/A
4-4-0-0-0 Protonated Ratio,1,1.49,N/A
4-4-0-0-0 All Adducts,635423936,768868032,N/A
4-4-0-0-0 All Ratio,1,1.21,N/A
4-4-0-1-0 Protonated,152434000,41766610,N/A
4-4-0-1-0 Protonated Ratio,3.65,1,N/A
4-4-0-1-0 All Adducts,152433968,41766608,N/A
4-4-0-1-0 All Ratio,3.65,1,N/A
4-4-1-0-0 Protonated,1175576000,231744200,N/A
4-4-1-0-0 Protonated Ratio,5.07,1,N/A
4-4-1-0-0 All Adducts,1731977728,526782856,N/A
4-4-1-0-0 All Ratio,3.29,1,N/A
4-4-1-1-0 Protonated,410134000,266838800,N/A
4-4-1-1-0 Protonated Ratio,1.54,1,N/A
4-4-1-1-0 All Adducts,410133952,266838784,N/A
4-4-1-1-0 All Ratio,1.54,1,N/A
4-5-0-0-0 Protonated,87929700,105254600,N/A
4-5-0-0-0 Protonated Ratio,1,1.2,N/A
4-5-0-0-0 All Adducts,87929704,318920798,N/A
4-5-0-0-0 All Ratio,1,3.63,N/A
4-5-0-1-0 Protonated,717106800,652522600,N/A
4-5-0-1-0 Protonated Ratio,1.1,1,N/A
4-5-0-1-0 All Adducts,717106752,652522624,N/A
4-5-0-1-0 All Ratio,1.1,1,N/A
4-5-0-2-0 Protonated,1714124000,1009083000,N/A
4-5-0-2-0 Protonated Ratio,1.7,1,N/A
4-5-0-2-0 All Adducts,2534713984,1135930040,N/A
4-5-0-2-0 All Ratio,2.23,1,N/A
4-5-1-0-0 Protonated,273738300,166716400,N/A
4-5-1-0-0 Protonated Ratio,1.64,1,N/A
4-5-1-0-0 All Adducts,631137184,430345008,N/A
4-5-1-0-0 All Ratio,1.47,1,N/A
4-5-1-1-0 Protonated,470612600,147559300,N/A
4-5-1-1-0 Protonated Ratio,3.19,1,N/A
4-5-1-1-0 All Adducts,470612608,147559344,N/A
4-5-1-1-0 All Ratio,3.19,1,N/A
4-5-1-2-0 Protonated,382841300,229333800,N/A
4-5-1-2-0 Protonated Ratio,1.67,1,N/A
4-5-1-2-0 All Adducts,382841344,266338860,N/A
4-5-1-2-0 All Ratio,1.44,1,N/A
4-5-2-0-0 Protonated,1223858000,270892800,N/A
4-5-2-0-0 Protonated Ratio,4.52,1,N/A
4-5-2-0-0 All Adducts,3222072704,801634020,N/A
4-5-2-0-0 All Ratio,4.02,1,N/A
4-5-3-1-0 Protonated,31294.11,316416.1,N/A
4-5-3-1-0 Protonated Ratio,1,10.11,N/A
4-5-3-1-0 All Adducts,82176.45,316416.09,N/A
4-5-3-1-0 All Ratio,1,3.85,N/A
4-6-0-0-0 Protonated,3519810,300149.6,N/A
4-6-0-0-0 Protonated Ratio,11.73,1,N/A
4-6-0-0-0 All Adducts,3519809.5,434343.65,N/A
4-6-0-0-0 All Ratio,8.1,1,N/A
4-6-0-1-0 Protonated,1848440,604019.9,N/A
4-6-0-1-0 Protonated Ratio,3.06,1,N/A
4-6-0-1-0 All Adducts,3600791.88,3230977.16,N/A
4-6-0-1-0 All Ratio,1.11,1,N/A
4-6-0-2-0 Protonated,13806280,14935770,N/A
4-6-0-2-0 Protonated Ratio,1,1.08,N/A
4-6-0-2-0 All Adducts,13806275,14935772,N/A
4-6-0-2-0 All Ratio,1,1.08,N/A
4-6-1-0-0 Protonated,57698500,31659120,N/A
4-6-1-0-0 Protonated Ratio,1.82,1,N/A
4-6-1-0-0 All Adducts,57698496,31659118,N/A
4-6-1-0-0 All Ratio,1.82,1,N/A
4-6-1-1-0 Protonated,295810000,171504600,N/A
4-6-1-1-0 Protonated Ratio,1.72,1,N/A
4-6-1-1-0 All Adducts,338680064,171504592,N/A
4-6-1-1-0 All Ratio,1.97,1,N/A
4-6-1-2-0 Protonated,24287990,14241980,N/A
4-6-1-2-0 Protonated Ratio,1.71,1,N/A
4-6-1-2-0 All Adducts,27777995.5,16690383,N/A
4-6-1-2-0 All Ratio,1.66,1,N/A
4-7-0-0-0 Protonated,81955120,160786200,N/A
4-7-0-0-0 Protonated Ratio,1,1.96,N/A
4-7-0-0-0 All Adducts,81955120,160786224,N/A
4-7-0-0-0 All Ratio,1,1.96,N/A
4-7-0-1-0 Protonated,79205.17,169080.6,N/A
4-7-0-1-0 Protonated Ratio,1,2.13,N/A
4-7-0-1-0 All Adducts,157325.45,169080.58,N/A
4-7-0-1-0 All Ratio,1,1.07,N/A
4-7-0-2-0 Protonated,1427484,1480269,N/A
4-7-0-2-0 Protonated Ratio,1,1.04,N/A
4-7-0-2-0 All Adducts,1427484,1480269,N/A
4-7-0-2-0 All Ratio,1,1.04,N/A
4-7-1-0-0 Protonated,110137.7,179967.6,N/A
4-7-1-0-0 Protonated Ratio,1,1.63,N/A
4-7-1-0-0 All Adducts,273331.98,221346.86,N/A
4-7-1-0-0 All Ratio,1.23,1,N/A
4-7-1-1-0 Protonated,259262.6,228985.3,N/A
4-7-1-1-0 Protonated Ratio,1.13,1,N/A
4-7-1-1-0 All Adducts,289788.46,277753.77,N/A
4-7-1-1-0 All Ratio,1.04,1,N/A
4-7-1-2-0 Protonated,341618.8,106916.2,N/A
4-7-1-2-0 Protonated Ratio,3.2,1,N/A
4-7-1-2-0 All Adducts,341618.81,106916.2,N/A
4-7-1-2-0 All Ratio,3.2,1,N/A
4-8-0-0-0 Protonated,154728,98923.85,N/A
4-8-0-0-0 Protonated Ratio,1.56,1,N/A
4-8-0-0-0 All Adducts,416441.88,98923.85,N/A
4-8-0-0-0 All Ratio,4.21,1,N/A
4-9-0-0-0 Protonated,32816.7,6350.55,N/A
