Glycan,AD1,AD2,AD_4,AD3,AD_5
2-3-0-0-0 Protonated,209692200,175719400,N/A,121666300,N/A
2-3-0-0-0 Protonated Ratio,1.72,1.44,N/A,1,N/A
2-3-0-0-0 All Adducts,447555472,402649950,N/A,242162840,N/A
2-3-0-0-0 All Ratio,1.85,1.66,N/A,1,N/A
2-3-1-0-0 Protonated,1102814000,996975600,N/A,503710100,N/A
2-3-1-0-0 Protonated Ratio,2.19,1.98,N/A,1,N/A
2-3-1-0-0 All Adducts,9239986048,6694038896,N/A,3568172200,N/A
2-3-1-0-0 All Ratio,2.59,1.88,N/A,1,N/A
2-4-0-0-0 Protonated,521320500,239064000,N/A,411113100,N/A
2-4-0-0-0 Protonated Ratio,2.18,1,N/A,1.72,N/A
2-4-0-0-0 All Adducts,3106731728,525416938,N/A,2108236752,N/A
2-4-0-0-0 All Ratio,5.91,1,N/A,4.01,N/A
2-5-0-0-0 Protonated,33389710000,20169440000,N/A,18355760000,N/A
2-5-0-0-0 Protonated Ratio,1.82,1.1,N/A,1,N/A
2-5-0-0-0 All Adducts,1.09306E+11,67400714752,N/A,51500656640,N/A
2-5-0-0-0 All Ratio,2.12,1.31,N/A,1,N/A
2-6-0-0-0 Protonated,3879029000,4357885000,N/A,2530258000,N/A
2-6-0-0-0 Protonated Ratio,1.53,1.72,N/A,1,N/A
2-6-0-0-0 All Adducts,21915624576,22416356608,N/A,11100304256,N/A
2-6-0-0-0 All Ratio,1.97,2.02,N/A,1,N/A
2-7-0-0-0 Protonated,224375800,195352100,N/A,168647600,N/A
2-7-0-0-0 Protonated Ratio,1.33,1.16,N/A,1,N/A
2-7-0-0-0 All Adducts,1148186544,2901809040,N/A,1055174362,N/A
2-7-0-0-0 All Ratio,1.09,2.75,N/A,1,N/A
2-8-0-0-0 Protonated,61893260,92395340,N/A,65346660,N/A
2-8-0-0-0 Protonated Ratio,1,1.49,N/A,1.06,N/A
2-8-0-0-0 All Adducts,2068195676,2277487896,N/A,2435220632,N/A
2-8-0-0-0 All Ratio,1,1.1,N/A,1.18,N/A
2-9-0-0-0 Protonated,1046494000,735934100,N/A,672828100,N/A
2-9-0-0-0 Protonated Ratio,1.56,1.09,N/A,1,N/A
2-9-0-0-0 All Adducts,10706144352,6353907808,N/A,5461992896,N/A
2-9-0-0-0 All Ratio,1.96,1.16,N/A,1,N/A
2-10-0-0-0 Protonated,22093280,27364910,N/A,14345830,N/A
2-10-0-0-0 Protonated Ratio,1.54,1.91,N/A,1,N/A
2-10-0-0-0 All Adducts,69449391,56094357,N/A,59704372.38,N/A
2-10-0-0-0 All Ratio,1.24,1,N/A,1.06,N/A
3-3-0-0-0 Protonated,126407000,33297090,N/A,62601580,N/A
3-3-0-0-0 Protonated Ratio,3.8,1,N/A,1.88,N/A
3-3-0-0-0 All Adducts,126406976,80935895.5,N/A,62601580,N/A
3-3-0-0-0 All Ratio,2.02,1.29,N/A,1,N/A
3-3-1-0-0 Protonated,1029512,482825.8,N/A,666204.4,N/A
3-3-1-0-0 Protonated Ratio,2.13,1,N/A,1.38,N/A
3-3-1-0-0 All Adducts,1285257.7,482825.81,N/A,666204.38,N/A
3-3-1-0-0 All Ratio,2.66,1,N/A,1.38,N/A
3-4-0-0-0 Protonated,67063300,47487000,N/A,30881480,N/A
3-4-0-0-0 Protonated Ratio,2.17,1.54,N/A,1,N/A
3-4-0-0-0 All Adducts,67063304,74158974,N/A,34139065.5,N/A
3-4-0-0-0 All Ratio,1.96,2.17,N/A,1,N/A
3-4-0-1-0 Protonated,103235200,362000600,N/A,114558900,N/A
3-4-0-1-0 Protonated Ratio,1,3.51,N/A,1.11,N/A
3-4-0-1-0 All Adducts,103235216,453471480,N/A,114558880,N/A
3-4-0-1-0 All Ratio,1,4.39,N/A,1.11,N/A
3-4-1-0-0 Protonated,95718700,49240140,N/A,27283940,N/A
3-4-1-0-0 Protonated Ratio,3.51,1.8,N/A,1,N/A
3-4-1-0-0 All Adducts,128398036,74826882,N/A,36794799.75,N/A
3-4-1-0-0 All Ratio,3.49,2.03,N/A,1,N/A
3-4-1-1-0 Protonated,40709170,56167770,N/A,24906830,N/A
3-4-1-1-0 Protonated Ratio,1.63,2.26,N/A,1,N/A
3-4-1-1-0 All Adducts,50878013,71634522,N/A,38785785.75,N/A
3-4-1-1-0 All Ratio,1.31,1.85,N/A,1,N/A
3-5-0-0-0 Protonated,683299.8,102786.1,N/A,103007.7,N/A
3-5-0-0-0 Protonated Ratio,6.65,1,N/A,1,N/A
3-5-0-0-0 All Adducts,683299.81,102786.1,N/A,103007.7,N/A
3-5-0-0-0 All Ratio,6.65,1,N/A,1,N/A
3-5-0-1-0 Protonated,2997106,2716786,N/A,4618135,N/A
3-5-0-1-0 Protonated Ratio,1.1,1,N/A,1.7,N/A
3-5-0-1-0 All Adducts,3463302.66,2716786,N/A,4618134.5,N/A
3-5-0-1-0 All Ratio,1.27,1,N/A,1.7,N/A
3-5-1-0-0 Protonated,953517.3,2748798,N/A,536744.6,N/A
3-5-1-0-0 Protonated Ratio,1.78,5.12,N/A,1,N/A
3-5-1-0-0 All Adducts,953517.31,2748798,N/A,770214.03,N/A
3-5-1-0-0 All Ratio,1.24,3.57,N/A,1,N/A
3-5-1-1-0 Protonated,249831800,80432390,N/A,58784160,N/A
3-5-1-1-0 Protonated Ratio,4.25,1.37,N/A,1,N/A
3-5-1-1-0 All Adducts,373438448,146999644,N/A,120409491.5,N/A
3-5-1-1-0 All Ratio,3.1,1.22,N/A,1,N/A
3-6-0-0-0 Protonated,6936004,218051.9,N/A,2613747,N/A
3-6-0-0-0 Protonated Ratio,31.81,1,N/A,11.99,N/A
3-6-0-0-0 All Adducts,6936003.5,218051.89,N/A,2613747.25,N/A
3-6-0-0-0 All Ratio,31.81,1,N/A,11.99,N/A
3-6-0-1-0 Protonated,222148.4,1716249,N/A,1115762,N/A
3-6-0-1-0 Protonated Ratio,1,7.73,N/A,5.02,N/A
3-6-0-1-0 All Adducts,222148.41,1716249,N/A,1115762,N/A
3-6-0-1-0 All Ratio,1,7.73,N/A,5.02,N/A
3-6-1-0-0 Protonated,6876316,952924.6,N/A,2961870,N/A
3-6-1-0-0 Protonated Ratio,7.22,1,N/A,3.11,N/A
3-6-1-0-0 All Adducts,6876316,952924.63,N/A,2961870,N/A
3-6-1-0-0 All Ratio,7.22,1,N/A,3.11,N/A
3-6-1-1-0 Protonated,6070680,3176604,N/A,3611909,N/A
3-6-1-1-0 Protonated Ratio,1.91,1,N/A,1.14,N/A
3-6-1-1-0 All Adducts,9749732,3176604,N/A,3611909,N/A
3-6-1-1-0 All Ratio,3.07,1,N/A,1.14,N/A
3-7-0-0-0 Protonated,107484.7,21622.42,N/A,28308.18,N/A
3-7-0-0-0 Protonated Ratio,4.97,1,N/A,1.31,N/A
3-7-0-0-0 All Adducts,107484.7,21622.42,N/A,28308.18,N/A
3-7-0-0-0 All Ratio,4.97,1,N/A,1.31,N/A
3-8-0-1-0 Protonated,4663251,2706321,N/A,10947110,N/A
3-8-0-1-0 Protonated Ratio,1.72,1,N/A,4.05,N/A
3-8-0-1-0 All Adducts,4663251,2706320.75,N/A,10947110,N/A
3-8-0-1-0 All Ratio,1.72,1,N/A,4.05,N/A
4-3-0-0-0 Protonated,989333400,437508400,N/A,441312100,N/A
4-3-0-0-0 Protonated Ratio,2.26,1,N/A,1.01,N/A
4-3-0-0-0 All Adducts,989333376,437508416,N/A,441312096,N/A
4-3-0-0-0 All Ratio,2.26,1,N/A,1.01,N/A
4-3-1-0-0 Protonated,11600490000,1915703000,N/A,5265394000,N/A
4-3-1-0-0 Protonated Ratio,6.06,1,N/A,2.75,N/A
4-3-1-0-0 All Adducts,15122662400,2113354672,N/A,6482635776,N/A
4-3-1-0-0 All Ratio,7.16,1,N/A,3.07,N/A
