Glycan,C1,C2,C3,C_4,C_5
2-3-0-0-0 Protonated,50006550,63464060,89245980,N/A,N/A
2-3-0-0-0 Protonated Ratio,1,1.27,1.78,N/A,N/A
2-3-0-0-0 All Adducts,90355444,137502020,191118116,N/A,N/A
2-3-0-0-0 All Ratio,1,1.52,2.12,N/A,N/A
2-3-1-0-0 Protonated,388680800,212410000,465594200,N/A,N/A
2-3-1-0-0 Protonated Ratio,1.83,1,2.19,N/A,N/A
2-3-1-0-0 All Adducts,615882556,1635714912,1448589184,N/A,N/A
2-3-1-0-0 All Ratio,1,2.66,2.35,N/A,N/A
2-4-0-0-0 Protonated,389658200,234429400,301208400,N/A,N/A
2-4-0-0-0 Protonated Ratio,1.66,1,1.28,N/A,N/A
2-4-0-0-0 All Adducts,1340621688,1089056564,1154227712,N/A,N/A
2-4-0-0-0 All Ratio,1.23,1,1.06,N/A,N/A
2-5-0-0-0 Protonated,29298180000,12263420000,15996790000,N/A,N/A
2-5-0-0-0 Protonated Ratio,2.39,1,1.3,N/A,N/A
2-5-0-0-0 All Adducts,61474779392,60739801088,46165381120,N/A,N/A
2-5-0-0-0 All Ratio,1.33,1.32,1,N/A,N/A
2-6-0-0-0 Protonated,2089989000,2053201000,2027566000,N/A,N/A
2-6-0-0-0 Protonated Ratio,1.03,1.01,1,N/A,N/A
2-6-0-0-0 All Adducts,7389015296,13203897760,9145155456,N/A,N/A
2-6-0-0-0 All Ratio,1,1.79,1.24,N/A,N/A
2-7-0-0-0 Protonated,181474.3,14088810,13022260,N/A,N/A
2-7-0-0-0 Protonated Ratio,1,77.64,71.76,N/A,N/A
2-7-0-0-0 All Adducts,181474.3,85392096.75,29123418,N/A,N/A
2-7-0-0-0 All Ratio,1,470.55,160.48,N/A,N/A
2-8-0-0-0 Protonated,233136700,36841420,151013700,N/A,N/A
2-8-0-0-0 Protonated Ratio,6.33,1,4.1,N/A,N/A
2-8-0-0-0 All Adducts,1823850116,1707468626,2279410784,N/A,N/A
2-8-0-0-0 All Ratio,1.07,1,1.33,N/A,N/A
2-9-0-0-0 Protonated,939670100,555430700,669498900,N/A,N/A
2-9-0-0-0 Protonated Ratio,1.69,1,1.21,N/A,N/A
2-9-0-0-0 All Adducts,5001228144,5280205292,5443229736,N/A,N/A
2-9-0-0-0 All Ratio,1,1.06,1.09,N/A,N/A
2-10-0-0-0 Protonated,1519078,1457908,2256597,N/A,N/A
2-10-0-0-0 Protonated Ratio,1.04,1,1.55,N/A,N/A
2-10-0-0-0 All Adducts,1519077.63,2077802.31,2256597.25,N/A,N/A
2-10-0-0-0 All Ratio,1,1.37,1.49,N/A,N/A
3-3-0-0-0 Protonated,2848082,8309823,2512759,N/A,N/A
3-3-0-0-0 Protonated Ratio,1.13,3.31,1,N/A,N/A
3-3-0-0-0 All Adducts,3246323.19,9704183.88,2512759,N/A,N/A
3-3-0-0-0 All Ratio,1.29,3.86,1,N/A,N/A
3-3-1-0-0 Protonated,3482564,466555.6,650333.6,N/A,N/A
3-3-1-0-0 Protonated Ratio,7.46,1,1.39,N/A,N/A
3-3-1-0-0 All Adducts,3482564,466555.63,650333.63,N/A,N/A
3-3-1-0-0 All Ratio,7.46,1,1.39,N/A,N/A
3-4-0-0-0 Protonated,43266800,47037930,25093530,N/A,N/A
3-4-0-0-0 Protonated Ratio,1.72,1.87,1,N/A,N/A
3-4-0-0-0 All Adducts,43266804,74467872,25093528,N/A,N/A
3-4-0-0-0 All Ratio,1.72,2.97,1,N/A,N/A
3-4-0-1-0 Protonated,19843260,6905225,29070330,N/A,N/A
3-4-0-1-0 Protonated Ratio,2.87,1,4.21,N/A,N/A
3-4-0-1-0 All Adducts,19843260,6905225,29070328,N/A,N/A
3-4-0-1-0 All Ratio,2.87,1,4.21,N/A,N/A
3-4-1-0-0 Protonated,11927410,5658264,7324721,N/A,N/A
3-4-1-0-0 Protonated Ratio,2.11,1,1.29,N/A,N/A
3-4-1-0-0 All Adducts,17354342,10655983.5,20180771,N/A,N/A
3-4-1-0-0 All Ratio,1.63,1,1.89,N/A,N/A
3-4-1-1-0 Protonated,17094850,8027537,13385220,N/A,N/A
3-4-1-1-0 Protonated Ratio,2.13,1,1.67,N/A,N/A
3-4-1-1-0 All Adducts,17094848,8027536.5,14954743.75,N/A,N/A
3-4-1-1-0 All Ratio,2.13,1,1.86,N/A,N/A
3-5-0-0-0 Protonated,10739.21,406259.8,201790.7,N/A,N/A
3-5-0-0-0 Protonated Ratio,1,37.83,18.79,N/A,N/A
3-5-0-0-0 All Adducts,10739.21,1164552.13,201790.7,N/A,N/A
3-5-0-0-0 All Ratio,1,108.44,18.79,N/A,N/A
3-5-0-1-0 Protonated,8553742,5548211,11549850,N/A,N/A
3-5-0-1-0 Protonated Ratio,1.54,1,2.08,N/A,N/A
3-5-0-1-0 All Adducts,9419442.31,8709719.25,13377959.25,N/A,N/A
3-5-0-1-0 All Ratio,1.08,1,1.54,N/A,N/A
3-5-1-0-0 Protonated,9588940,9185672,7285108,N/A,N/A
3-5-1-0-0 Protonated Ratio,1.32,1.26,1,N/A,N/A
3-5-1-0-0 All Adducts,18161482,24792791.5,29202402,N/A,N/A
3-5-1-0-0 All Ratio,1,1.37,1.61,N/A,N/A
3-5-1-1-0 Protonated,150337500,132950300,104426600,N/A,N/A
3-5-1-1-0 Protonated Ratio,1.44,1.27,1,N/A,N/A
3-5-1-1-0 All Adducts,150337488,220997888,159909900,N/A,N/A
3-5-1-1-0 All Ratio,1,1.47,1.06,N/A,N/A
3-6-0-0-0 Protonated,461836,8960772,389466.3,N/A,N/A
3-6-0-0-0 Protonated Ratio,1.19,23.01,1,N/A,N/A
3-6-0-0-0 All Adducts,760325.28,8960772,389466.31,N/A,N/A
3-6-0-0-0 All Ratio,1.95,23.01,1,N/A,N/A
3-6-0-1-0 Protonated,2786782,2510730,2596924,N/A,N/A
3-6-0-1-0 Protonated Ratio,1.11,1,1.03,N/A,N/A
3-6-0-1-0 All Adducts,4601731.19,2922452.88,4046627.38,N/A,N/A
3-6-0-1-0 All Ratio,1.57,1,1.38,N/A,N/A
3-6-1-0-0 Protonated,474689000,76650080,81687250,N/A,N/A
3-6-1-0-0 Protonated Ratio,6.19,1,1.07,N/A,N/A
3-6-1-0-0 All Adducts,474688992,76650080,81687248,N/A,N/A
3-6-1-0-0 All Ratio,6.19,1,1.07,N/A,N/A
3-6-1-1-0 Protonated,166871000,111986300,154158800,N/A,N/A
3-6-1-1-0 Protonated Ratio,1.49,1,1.38,N/A,N/A
3-6-1-1-0 All Adducts,218253192,216098240,205695570,N/A,N/A
3-6-1-1-0 All Ratio,1.06,1.05,1,N/A,N/A
3-7-0-0-0 Protonated,1640257,275802.4,144763.8,N/A,N/A
3-7-0-0-0 Protonated Ratio,11.33,1.91,1,N/A,N/A
3-7-0-0-0 All Adducts,1640256.63,486523.52,331042.61,N/A,N/A
3-7-0-0-0 All Ratio,4.95,1.47,1,N/A,N/A
3-8-0-1-0 Protonated,24498330,25458270,26060040,N/A,N/A
3-8-0-1-0 Protonated Ratio,1,1.04,1.06,N/A,N/A
3-8-0-1-0 All Adducts,24498334,25458270,26060044,N/A,N/A
3-8-0-1-0 All Ratio,1,1.04,1.06,N/A,N/A
4-3-0-0-0 Protonated,311818200,234497900,476532500,N/A,N/A
4-3-0-0-0 Protonated Ratio,1.33,1,2.03,N/A,N/A
4-3-0-0-0 All Adducts,311818240,264321164,476532480,N/A,N/A
4-3-0-0-0 All Ratio,1.18,1,1.8,N/A,N/A
4-3-1-0-0 Protonated,2792991000,1020740000,6122602000,N/A,N/A
4-3-1-0-0 Protonated Ratio,2.74,1,6,N/A,N/A
4-3-1-0-0 All Adducts,3286584640,1605429984,7540098688,N/A,N/A
4-3-1-0-0 All Ratio,2.05,1,4.7,N/A,N/A
4-4-0-0-0 Protonated,408987500,290502000,172062600,N/A,N/A
4-4-0-0-0 Protonated Ratio,2.38,1.69,1,N/A,N/A
4-4-0-0-0 All Adducts,408987520,490442240,172062560,N/A,N/A
4-4-0-0-0 All Ratio,2.38,2.85,1,N/A,N/A
4-4-0-1-0 Protonated,52112270,39747460,63948520,N/A,N/A
4-4-0-1-0 Protonated Ratio,1.31,1,1.61,N/A,N/A
4-4-0-1-0 All Adducts,52112268,39747460,63948524,N/A,N/A
4-4-0-1-0 All Ratio,1.31,1,1.61,N/A,N/A
4-4-1-0-0 Protonated,138146400,507052700,401341400,N/A,N/A
4-4-1-0-0 Protonated Ratio,1,3.67,2.91,N/A,N/A
4-4-1-0-0 All Adducts,266921578,844897536,536305136,N/A,N/A
4-4-1-0-0 All Ratio,1,3.17,2.01,N/A,N/A
4-4-1-1-0 Protonated,193013400,95111680,224316800,N/A,N/A
4-4-1-1-0 Protonated Ratio,2.03,1,2.36,N/A,N/A
4-4-1-1-0 All Adducts,193013424,95111680,224316848,N/A,N/A
4-4-1-1-0 All Ratio,2.03,1,2.36,N/A,N/A
4-5-0-0-0 Protonated,49747930,60061510,27631120,N/A,N/A
4-5-0-0-0 Protonated Ratio,1.8,2.17,1,N/A,N/A
4-5-0-0-0 All Adducts,161063379,60061512,99049645,N/A,N/A
4-5-0-0-0 All Ratio,2.68,1,1.65,N/A,N/A
4-5-0-1-0 Protonated,550905600,468175200,291835600,N/A,N/A
4-5-0-1-0 Protonated Ratio,1.89,1.6,1,N/A,N/A
4-5-0-1-0 All Adducts,550905600,553617616,291835584,N/A,N/A
4-5-0-1-0 All Ratio,1.89,1.9,1,N/A,N/A
4-5-0-2-0 Protonated,19104550,9596432,35515210,N/A,N/A
4-5-0-2-0 Protonated Ratio,1.99,1,3.7,N/A,N/A
4-5-0-2-0 All Adducts,19104550,19377835,56878934,N/A,N/A
4-5-0-2-0 All Ratio,1,1.01,2.98,N/A,N/A
4-5-1-0-0 Protonated,130777100,73531700,61076860,N/A,N/A
4-5-1-0-0 Protonated Ratio,2.14,1.2,1,N/A,N/A
4-5-1-0-0 All Adducts,240913976,240592646,171481344,N/A,N/A
4-5-1-0-0 All Ratio,1.4,1.4,1,N/A,N/A
4-5-1-1-0 Protonated,162435100,156868900,396043400,N/A,N/A
4-5-1-1-0 Protonated Ratio,1.04,1,2.52,N/A,N/A
4-5-1-1-0 All Adducts,162435088,176903488,458316388,N/A,N/A
4-5-1-1-0 All Ratio,1,1.09,2.82,N/A,N/A
