# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FAD9_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
2514	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20105911644677	2.046108	6.4415104E7	5.3569692225E8	5.3569692225E8	N	1	MS1	227.20051058644677	227.20165353000002	-5.944135532445216E-4	-2.616250956964092	0.023147436429338697	2.043	2.136E08	1.0	0.99	6,208.360	SI	6.477E07	0.0	0.0	2.043_64765068.343_1.957_2.156_213570126.687_0.99_6208.36_1.967_10430.236_2.152_10430.236	
2517	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201078	17.503691	63566.15625	63566.15625	63566.15625	N	1	MS1	227.20052947	227.20165353000002	-5.755300000203079E-4	-2.5331367024666287	15.480730436429338	17.895	1.134E05	1.0	0.58	2.160	SI	1.150E05	0.0	0.0	17.895_114951.904_17.011_17.992_113442.616_0.58_2.16_17.115_36415.899_17.951_36415.899	
2516	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.2011025698471	16.066482	96988.875	171891.0625	171891.0625	N	1	MS1	227.2005540398471	227.20165353000002	-5.509601529070096E-4	-2.4249947595214953	14.043521436429339	15.58	1.391E05	1.0	0.77	0.660	SI	1.273E05	0.0	0.0	15.580_127314.669_15.567_16.556_139087.424_0.77_0.66_15.614_69595.574_16.474_69595.574	
2521	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20112300000002	20.025672	87884.875	87884.875	87884.875	N	1	MS1	227.20057447000002	227.20165353000002	-5.305299999918134E-4	-2.335073321136631	18.00271143642934	20.319	4.887E05	1.0	0.72	1.680	SI	1.549E05	0.0	0.0	20.319_154893.391_19.532_20.517_488740.602_0.72_1.68_19.587_57776.049_20.456_57776.049	
2518	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20113481685883	2.833984	990157.623778	5368773.310409	5368773.310409	N	1	MS1	227.20058628685882	227.20165353000002	-5.187131411901191E-4	-2.2830625117102583	0.8110234364293389	3.124	3.775E07	1.0	0.79	10.750	SI	1.353E06	0.0	0.0	3.124_1353000.508_2.606_3.433_37751745.706_0.79_10.75_2.606_115139.122_3.285_115139.122;2.310_447418.440_2.236_2.606_2198854.188_0.57_447417.44_2.242_0.000_2.606_0.000	
2532	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20117949122087	5.497	383318.156249	753407.812499	753407.812499	N	1	MS1	227.20063096122087	227.20165353000002	-4.7403877914575787E-4	-2.0864324942243138	3.4740394364293388	5.841	1.983E07	1.0	0.62	2.930	SI	6.584E05	0.0	0.0	5.841_658374.805_5.469_6.912_19830551.354_0.62_2.93_5.469_167324.632_6.887_167324.632;5.361_504426.373_5.153_5.469_1634245.289_0.61_0.56_5.153_322635.063_5.469_322635.063	
2513	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20118261572864	13.759631	147098.8125	215354.960938	215354.960938	N	1	MS1	227.20063408572864	227.20165353000002	-4.709142713750225E-4	-2.072680269005475	11.736670436429339	13.76	1.673E06	1.0	0.64	0.660	SI	1.460E05	0.0	0.0	13.760_146026.271_13.261_14.253_1672706.493_0.64_0.66_13.413_88059.275_14.240_88059.275	
2546	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20120061722645	12.728995	139837.90625	431351.265626	431351.265626	N	1	MS1	227.20065208722644	227.20165353000002	-4.5291277356795945E-4	-1.9934483876132452	10.706034436429338	13.185	5.173E05	1.0	0.48	0.470	SI	1.380E05	0.0	0.0	13.185_137997.789_12.595_13.581_517340.706_0.48_0.47_12.671_93935.411_13.568_93935.411	
2530	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20121571674898	10.937126	108282.0625	790131.570313	790131.570313	N	1	MS1	227.20066718674897	227.20165353000002	-4.3781325103964264E-4	-1.9269892842338328	8.914165436429338	11.48	9.675E05	1.0	0.76	0.800	SI	1.423E05	0.0	0.0	11.480_142271.068_10.913_11.900_967501.397_0.76_0.80_10.913_78844.946_11.801_78844.946	
2576	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20122160783674	9.421605	91913.257813	252804.429688	252804.429688	N	1	MS1	227.20067307783674	227.20165353000002	-4.3192216327270216E-4	-1.901060227602098	7.398644436429338	9.414	1.252E06	1.0	0.75	0.850	SI	1.329E05	0.0	0.0	9.414_132855.077_9.253_10.243_1252254.560_0.75_0.85_9.253_71786.742_10.194_71786.742	
2547	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20122481535242	0.032034	355443.1875	1037266.65625	1037266.65625	N	1	MS1	227.20067628535242	227.20165352999996	-4.287146475405734E-4	-1.886942655937035	1.9741453424028919	0.057	1.880E05	1.0	0.52	0.190	SI	3.657E05	0.0	0.0	0.057_365684.644_0.004_0.106_188042.208_0.52_0.19_0.004_307131.020_0.106_307131.020;0.189_386141.852_0.106_0.291_384528.821_0.84_0.27_0.106_304332.431_0.291_304332.431;0.349_400081.462_0.291_0.431_326442.055_0.78_0.31_0.291_304332.431_0.431_304332.431;0.496_382193.473_0.431_0.525_175406.162_0.50_0.13_0.431_337377.311_0.517_337377.311	
2569	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20125363987432	11.963663	133140.453125	355613.492188	355613.492188	N	1	MS1	227.20070510987432	227.20165353000002	-3.998901256920817E-4	-1.76007431622492	9.940702436429339	11.655	3.225E05	1.0	0.74	0.650	SI	1.435E05	0.0	0.0	11.655_143508.597_11.649_12.638_322528.864_0.74_0.65_11.705_83154.613_12.551_83154.613	
2574	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20125441924412	7.637178	136568.8125	1347289.4531280003	1347289.4531280003	N	1	MS1	227.20070588924412	227.20165353000002	-3.991107558931617E-4	-1.7566439960257885	5.614217436429339	7.63	1.040E06	1.0	0.57	0.370	SI	1.386E05	0.0	0.0	7.630_138564.952_7.506_8.498_1040254.606_0.57_0.37_7.544_100971.052_8.467_100971.052	
2575	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20125714819534	8.385344	105365.296875	366998.687501	366998.687501	N	1	MS1	227.20070861819534	227.20165353000002	-3.963818046770484E-4	-1.7446327834441633	6.362383436429338	8.819	1.796E05	1.0	0.52	0.790	SI	1.289E05	0.0	0.0	8.819_128914.370_8.336_9.322_179556.254_0.52_0.79_8.336_71872.019_9.253_71872.019	
