# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FC7_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
2897	FA(14:1)-H	FA	(14:1)	M-H	O2 H25 C14	225.185644	7.94151	37073.351712	37073.351712	37073.351712	N	1	MS1	225.18509547	225.18600353000002	-3.5953000002564295E-4	-1.596597675682052	5.89973581849995	7.935	8.706E03	1.0	1.0	8,141.370	SI	8.142E03	0.0	0.0	7.935_8142.374_7.845_7.974_8706.255_1.00_8141.37_7.845_0.000_7.974_0.000;7.555_10285.257_7.445_7.658_27020.137_0.63_10284.26_7.497_0.000_7.658_0.000;7.767_11825.236_7.658_7.845_9380.770_0.83_11824.24_7.658_0.000_7.845_0.000;8.019_10545.685_7.974_8.090_12235.451_0.53_10544.69_7.974_0.000_8.090_0.000;8.193_7404.896_8.090_8.225_8923.017_0.92_3368.01_8.090_2.198_8.225_2.198;8.257_5956.985_8.225_8.432_9173.236_0.37_5955.99_8.225_0.000_8.380_0.000	
3053	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.2011102959539	2.068826	2.2938806E7	2.095382185E8	2.095382185E8	N	1	MS1	227.2005617659539	227.20165352999996	-5.432340460629348E-4	-2.390989009184478	0.036008182704851066	2.068	9.210E07	1.0	0.99	23,036,406.790	SI	2.304E07	0.0	0.0	2.068_23036407.788_1.962_2.268_92103792.428_0.99_23036406.79_1.962_0.000_2.263_0.000	
3054	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201194	14.814433	134712.621845	134712.621845	134712.621845	N	1	MS1	227.20064546999998	227.20165352999996	-4.595299999721192E-4	-2.022573479144435	12.78161518270485	14.944	1.008E05	1.0	0.68	1.660	SI	1.424E05	0.0	0.0	14.944_142353.834_14.321_15.307_100767.381_0.68_1.66_14.371_53547.894_15.186_53547.894	
3055	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201213	2.474536	148802.828125	148802.828125	148802.828125	N	1	MS1	227.20066447	227.20165352999996	-4.4052999996324615E-4	-1.93894679397566	0.4417181827048511	2.064	8.436E07	0.92	0.99	609,110.790	BS	1.811E07	0.036	0.037	3.292_679440.072_0.691_0.801_64721123.498_0.60_762255.74_2.323_3.343;2.064_18110046.364_0.036_0.037_84359914.719_0.99_609110.79_1.943_2.279	
3060	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.2012627094242	10.29234	116645.234375	220895.578125	220895.578125	N	1	MS1	227.2007141794242	227.20165352999996	-3.9082057574546525E-4	-1.7201555776661324	8.25952218270485	10.43	5.658E05	1.0	0.51	0.650	SI	1.313E05	0.0	0.0	10.430_131314.237_9.793_10.785_565756.737_0.51_0.65_9.903_79714.361_10.694_79714.361	
3068	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20129317851845	9.433677	111812.710938	493836.773439	493836.773439	N	1	MS1	227.20074464851845	227.20165352999996	-3.6035148150403984E-4	-1.5860488576369183	7.400859182704851	9.543	1.773E05	1.0	0.48	0.700	SI	1.244E05	0.0	0.0	9.543_124403.412_9.211_10.194_177313.543_0.48_0.70_9.309_72983.928_10.047_72983.928	
3066	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20130426813148	8.481122	96346.492188	278058.437501	278058.437501	N	1	MS1	227.20075573813148	227.20165352999996	-3.49261868478834E-4	-1.5372390260945634	6.448304182704851	9.353	8.647E05	1.0	0.46	0.580	SI	1.175E05	0.0	0.0	9.353_117538.750_8.469_9.458_864711.286_0.46_0.58_8.469_72120.250_9.310_72120.250	
3069	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201327	10.433315	138867.53125	138867.53125	138867.53125	N	1	MS1	227.20077847	227.20165352999996	-3.265299999668514E-4	-1.4371869769362036	8.400497182704852	11.382	1.395E06	1.0	0.46	0.840	SI	1.499E05	0.0	0.0	11.382_149919.873_10.403_11.388_1394743.355_0.46_0.84_10.494_81348.194_11.388_81348.194	
3072	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20136699999998	19.11376	104100.648438	104100.648438	104100.648438	N	1	MS1	227.20081846999997	227.20165352999996	-2.8652999998257656E-4	-1.2611310201790074	17.08094218270485	18.815	1.041E06	1.0	0.44	1.230	SI	1.321E05	0.0	0.0	18.815_132114.206_18.616_19.600_1040985.396_0.44_1.23_18.635_59179.425_19.575_59179.425	
3071	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20137304515876	0.247885	381569.875	1078535.6875	1078535.6875	N	1	MS1	227.20082451515876	227.20165353000002	-2.804848412552019E-4	-1.2345238704734016	1.779229741537448	0.23	2.183E06	1.0	0.56	0.460	SI	4.130E05	0.0	0.0	0.230_413003.168_0.004_0.722_2182996.795_0.56_0.46_0.038_282273.253_0.665_282273.253	
3075	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.2014282249749	16.639046	406769.8272	553353.954206	553353.954206	N	1	MS1	227.2008796949749	227.20165352999996	-2.2530502505446748E-4	-0.9916556016726138	14.606228182704852	16.742	4.133E05	1.0	0.8	0.730	SI	1.174E05	0.0	0.0	16.742_117448.523_16.601_17.133_413347.617_0.80_0.73_16.601_67779.306_17.075_67779.306;16.218_134561.168_16.141_16.352_204983.406_0.78_1.32_16.154_57928.061_16.352_57928.061;16.409_113200.371_16.352_16.486_110386.896_0.81_0.69_16.352_67126.571_16.486_67126.571;16.569_101163.671_16.486_16.601_72524.888_0.47_0.49_16.486_67779.306_16.601_67779.306	
5360	LPA(4:0)-H	LPA	(4:0)	M-H	C7 H14 O7 N0 P1	241.04998	10.611028	24767.645095	24767.645095	24767.645095	N	1	MS1	241.04943147	241.04826653	0.0017134699999985514	7.108376027063157	8.027803432120372	10.611	6.169E03	1.0	0.99	14,110.400	SI	1.411E04	0.0	0.0	10.611_14111.396_10.519_10.629_6168.721_0.99_14110.40_10.588_0.000_10.623_0.000	
5361	LPA(4:0)-H	LPA	(4:0)	M-H	C7 H14 O7 N0 P1	241.050122	7.50043	19288.965503	19288.965503	19288.965503	N	1	MS1	241.04957346999998	241.04826653	0.0018554699999810964	7.697462282429719	4.9172054321203715	7.5	2.198E03	1.0	1.0	5,042.080	SI	5.043E03	0.0	0.0	7.500_5043.083_7.491_7.544_2197.789_1.00_5042.08_7.491_0.000_7.512_0.000;7.479_5859.075_7.433_7.491_3855.609_1.00_5858.08_7.452_0.000_7.491_0.000	
5362	LPA(4:0)-H	LPA	(4:0)	M-H	C7 H14 O7 N0 P1	241.050303	8.255166	24266.261096	24266.261096	24266.261096	N	1	MS1	241.04975447	241.04826653	0.0020364700000072844	8.448338827330083	5.671941432120371	8.256	7.877E03	1.0	0.47	8,940.460	SI	8.941E03	0.0	0.0	8.256_8941.456_8.174_8.351_7877.042_0.47_8940.46_8.174_0.000_8.351_0.000;7.933_8392.339_7.756_8.009_9409.829_0.54_8391.34_7.794_0.000_8.009_0.000;8.079_445.875_8.009_8.174_333.297_0.77_444.87_8.009_0.000_8.142_0.000;8.409_8037.858_8.351_8.453_5483.845_1.00_8036.86_8.351_0.072_8.453_0.072;8.497_6505.995_8.453_8.535_6847.276_0.38_6504.99_8.453_0.072_8.535_0.072;8.618_9465.538_8.535_8.745_28627.774_0.45_9464.54_8.535_0.000_8.738_0.000	
